fips,population,population_per_sqmile
18099,46595,103.48991963851543
18101,10210,29.954896231041445
18103,35901,95.22647218467088
18105,145403,353.3547937267584
18107,38276,75.6887293135692
18109,69727,170.17255157577708
18111,14018,34.78745780309722
18113,47451,113.83346388384045
18115,5887,67.75171210247746
18117,19547,47.85536057364375
18119,20878,53.78760397695995
18121,16996,37.7111845631327
18123,19141,49.46766021590793
18125,12411,36.52800819097158
18127,168041,399.81996926796944
18129,25589,60.81518230287626
18131,12660,29.118203565388047
18133,37559,77.83069113266087
18135,25076,55.33748596308416
18137,28425,63.623091910114894
18139,16704,40.88305328835349
18141,269240,583.3908009478992
18143,23743,123.8269579904711
18145,44399,107.36145144929975
18147,20526,51.11937221735589
18149,22941,73.55340119740664
18151,34474,107.020793079037
18153,20792,45.896163904891296
18155,10628,47.578123918779646
18157,189294,375.77604991274535
18159,15218,58.32950678189721
18161,7153,43.23700639506547
18163,181313,766.5249819398759
18165,15560,59.9017035968987
18167,107693,262.9351254488276
18169,31631,75.07108038840947
18171,8247,22.516639335028128
18173,61928,158.4434457629434
18175,27827,53.903664049496236
18177,66613,164.6926529630661
18179,27947,75.41025573341703
18181,24217,47.7727443462566
18183,33649,99.4554372552198
19001,7124,12.315880223381374
19003,3726,8.63892729607558
19005,13880,20.854195578519185
19007,12510,23.99258010777937
19009,5637,12.547863304107054
19011,25626,35.25959707740454
19013,133009,230.41374462362126
19015,26399,45.49800307279576
19017,24782,55.97728200607915
19019,21125,36.6394289181401
19021,20260,34.38762445792531
19023,14735,25.127860017858318
19025,9780,16.859547528397954
19027,20344,35.153551128674316
19029,13191,23.003961367740573
19031,18445,31.54654759383545
19033,42984,74.09094940830563
19035,11468,19.563186528324078
19037,12099,23.764476953420626
19039,9282,21.196062403165072
19041,16313,28.09940895290855
19043,17672,22.200925035013626
19045,47218,66.08002587373944
19047,17132,23.56206035078208
19049,84002,140.40501449564383
19051,8885,17.475546100946584
19053,8044,14.955732908112001
19055,17258,29.709008445371953
19057,39600,91.51392178705545
19059,17056,41.61191127207407
19061,96802,156.17129874005494
19063,9551,23.460153967079133
19065,19929,27.06417681316815
19067,15858,31.33004310273266
19069,10245,17.414949916540234
19071,6968,13.252092287066445
19073,9003,15.560010954753828
19075,12341,24.33812580880401
19077,10674,17.765717505512097
19079,15110,25.864459311176006
19081,10888,18.789796076011065
19083,17127,29.758372252138848
19085,14143,19.792006871899552
19087,19926,45.3925791820407
19089,9264,19.439688522949346
19091,9566,21.71637786320499
19093,6916,15.768230224003263
19095,16207,27.31594161619137
19097,19395,29.811936727029412
19099,36891,49.8730506407311
19101,18077,41.038740382547864
19103,147001,235.6601702874648
19105,20568,35.47885915539443
19107,10200,17.450989397479553
19109,15075,15.280720187494119
19111,34541,63.94758922201306
19113,222121,305.9911948883713
19115,11223,26.765525920431138
19117,8597,19.6121730891072
19119,11769,19.78340692867896
19121,15890,27.908525795606693
19123,22208,38.409137396081796
19125,33207,57.64704936880054
19127,40271,69.69760379450683
19129,14957,33.3645662116738
19131,10631,22.46896141947161
19133,8796,12.355216322164097
19135,7863,17.96328142393488
19137,10155,23.53160229267709
19139,42950,95.03514618835736
19141,13911,23.848364003809728
19143,6115,15.073991926233926
19145,15363,28.20021927946422
19147,9055,15.700865433689176
19149,25039,28.467768469561396
19151,6898,11.775283327008694
19153,474274,793.1787415058313
19155,93503,95.82077058224941
19157,18605,31.395469616286487
19159,4984,9.130545352705717
19161,9868,16.79822363849297
19163,172288,366.4811540940946
19165,11694,19.45529871989071
19167,34825,44.29025880040102
19169,96922,167.39982242674898
19171,17136,23.54444049435485
19173,6201,11.420403691728392
19175,12453,28.883685848844976
19177,7223,14.602603415883621
19179,35315,80.42421357105731
19181,49361,85.17707735569466
19183,22143,38.52965554571427
19185,6413,12.020017628258573
19187,36757,50.513086738839
19189,10571,26.071836216805522
19191,20401,29.541432353541854
19193,102398,115.0611430219424
19195,7489,18.496878733569066
19197,12804,21.796222782409576
20001,12630,24.529452468032186
20003,7852,13.23468579189283
20005,16363,36.94679379449075
20007,4733,4.032492501028151
20009,26791,28.80705447958423
20011,14702,22.628024158391327
20013,9664,16.600040320042527
20015,66468,44.83594180460179
20017,2645,3.3289332367666304
20019,3367,5.107057636725378
20021,20331,33.85254699790994
20023,2677,2.509762062335831
20025,2053,2.0191450470476573
20027,8142,12.091812110458706
20029,9060,12.279678249305068
20031,8296,12.44490913527156
20033,1780,2.1751388004038366
20035,35591,30.668122992287916
20037,39108,64.70450633457459
20039,2881,3.09814110556644
20041,19004,21.817096967786643
20043,7736,19.10339952418745
20045,119319,247.61597042344235
20047,2925,4.546109122788889
20049,2562,3.8570704722262326
20051,28878,31.017017948268514
20053,6293,8.440797492770548
20055,36957,27.197886250596238
20057,34484,30.146615938519545
20059,25563,43.49664588625621
20061,34895,84.25642357184947
20063,2619,2.34721073997468
20065,2545,2.7288185819868938
20067,7616,12.61827658546713
20069,6037,6.658501939454816
20071,1200,1.467697791035951
20073,6156,5.241279825947441
20075,2616,2.4986222305524617
20077,5673,6.85962823670847
20079,34555,62.39429020140649
20081,4047,6.71023487122599
20083,1842,2.0584627697719293
20085,13318,19.88012585353344
20087,18888,33.33348484248437
20089,2916,3.096348771972641
20091,585502,1200.6139247075987
20093,3932,4.308603790491871
20095,7470,8.364335651893946
20097,2526,3.3656097314897404
20099,20367,30.624920728942946
20101,1642,2.194916851519277
20103,80042,168.52003902176364
20105,3097,4.178032559004094
20107,9635,15.634185142897044
20109,2810,2.5011920362392908
20111,33299,38.103941692107
20113,28630,30.953808811004308
20115,12032,12.29681712606881
20117,9798,10.600691294986689
20119,4261,4.174806310598848
20121,33127,55.285944087336844
20123,6222,8.418777032183042
20125,32970,49.616086396213696
20127,5566,7.748233765910261
20129,2838,3.6964824412706583
20131,10104,13.786244429209995
20133,16125,27.427847644255255
20135,2955,2.6478444262763876
20137,5486,6.00716073656725
20139,15882,21.630350333970693
20141,3603,3.9017391989571113
20143,5902,7.977745575871074
20145,6709,8.593539532565602
20147,5408,5.8570931302174705
20149,23545,26.756558220441462
20151,9582,12.625421108799214
20153,2509,2.2434294037524207
20155,63101,48.200210429217265
20157,4686,6.356699783987486
20159,9762,12.983736734331952
20161,75296,118.47141564430305
20163,5118,5.519052501076116
20165,3102,4.1735390408609705
20167,6977,7.509616885279383
20169,54977,74.3622210798613
20171,4949,6.6015515066940464
20173,512064,493.37767811575526
20175,22692,33.81588100803242
20177,178284,315.66795056050876
20179,2506,2.6879450241862406
20181,5966,5.388475431662374
20183,3663,3.9642467033116846
20185,4214,5.1361155666329195
20187,2063,2.885374970272158
20189,5686,7.446914018823343
20191,23208,19.057198445185858
20193,7824,6.975917855626428
20195,2858,3.0607149028001275
20197,6888,8.443079745425843
20199,1575,1.6432947170994077
